,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,url,paper_id,citations,paper_url,git_urls,Repository,Stars,Forks,Downloads,Watchers,Open Issues,Network Count,Commit Count,Age (days),Languages,Language percs,Code total,Main language,Main language lines,Type
0,0,0.0,0.0,0.0,0.0,0.0,Generative music with stochastic diffusion search,https://scholar.google.com/scholar?q=Generative%20music%20with%20stochastic%20diffusion%20search,0,9.0,http://gala.gre.ac.uk/id/eprint/21009/1/21009_AL%20RIFAIE_Generative_music_with_stochastic_diffusion_search.pdf,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
1,1,1.0,1.0,1.0,1.0,1.0,Gene expression synthesis,https://scholar.google.com/scholar?q=Gene%20expression%20synthesis,1,100.0,https://pubs.rsc.org/en/content/getauthorversionpdf/c5mb00310e,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
2,2,2.0,2.0,2.0,2.0,2.0,Real-time musical interaction between musician and multi-agent system,https://scholar.google.com/scholar?q=Real-time%20musical%20interaction%20between%20musician%20and%20multi-agent%20system,2,3.0,https://cir.nii.ac.jp/crid/1570572700569443584,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
3,3,3.0,3.0,3.0,3.0,3.0,Deep machine learning – a new frontier in artificial intelligence research,https://scholar.google.com/scholar?q=Deep%20machine%20learning%20%E2%80%93%20a%20new%20frontier%20in%20artificial%20intelligence%20research,3,1642.0,https://www.researchgate.net/profile/Thomas-Karnowski/publication/220438386_Deep_Machine_Learning_-_A_New_Frontier_in_Artificial_Intelligence_Research_Research_Frontier/links/570bb11b08ae8883a1ffd3e1/Deep-Machine-Learning-A-New-Frontier-in-Artificial-Intelligence-Research-Research-Frontier.pdf,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
4,4,4.0,4.0,4.0,4.0,4.0,Evaluation of musical creativity and musical metacreation systems,https://scholar.google.com/scholar?q=Evaluation%20of%20musical%20creativity%20and%20musical%20metacreation%20systems,4,68.0,https://dl.acm.org/doi/pdf/10.1145/2967506?casa_token=d-NU3YTadPgAAAAA:BWQ_nHPpVw9OX1X2Npvh5NIo2wdEQxCpGUR2nLWi_p_8TG8rl80qU8dR3ugVnzI0Cw7CMJZA_fAb,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
5,5,5.0,5.0,5.0,5.0,5.0,Automatic construction of interactive machine improvisation scenarios from audio recordings,https://scholar.google.com/scholar?q=Automatic%20construction%20of%20interactive%20machine%20improvisation%20scenarios%20from%20audio%20recordings,5,5.0,https://hal.science/hal-01336825/document,https://github.com/fpom/snakesibisc,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
6,6,6.0,6.0,6.0,6.0,6.0,Omax brothers: A dynamic topology of agents for improvization learning,https://scholar.google.com/scholar?q=Omax%20brothers%3A%20A%20dynamic%20topology%20of%20agents%20for%20improvization%20learning,6,197.0,https://dl.acm.org/doi/pdf/10.1145/1178723.1178742?casa_token=1X6j-EJHq5UAAAAA:ymsck-WDuf2-vCH_ne4aXGga-rUspL37GMA9pImcscHGQ2uQaJP6FJ5GDWjSHbfg5VbRVYAQf2L0,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
7,7,7.0,7.0,7.0,7.0,7.0,Guessing the composer’s mind: Applying universal prediction to musical style,https://scholar.google.com/scholar?q=Guessing%20the%20composer%E2%80%99s%20mind%3A%20Applying%20universal%20prediction%20to%20musical%20style,7,107.0,http://dub.ucsd.edu/Papers/GuessingICMC99.pdf,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
8,8,8.0,8.0,8.0,8.0,8.0,Artificial evolution of tuning systems,https://scholar.google.com/scholar?q=Artificial%20evolution%20of%20tuning%20systems,8,51.0,https://www.sciencedirect.com/science/article/pii/S0965997816300515?casa_token=WgOShEm10_QAAAAA:_Ho2TOcWqFkNtErBDKWO8Qclnn12Cp4asGuJGAGWx7DXJfpBow0UYq3dhtnN3t9LAFM__Tsm9Q,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
9,9,9.0,9.0,9.0,9.0,9.0,Ringomatic: A realtime interactive drummer using constraint-satisfaction and drum sound descriptors,https://scholar.google.com/scholar?q=Ringomatic%3A%20A%20realtime%20interactive%20drummer%20using%20constraint-satisfaction%20and%20drum%20sound%20descriptors,9,20.0,https://www.academia.edu/download/77079872/1057.pdf,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
10,10,10.0,10.0,10.0,10.0,10.0,Continuous realtime gesture following and recognition,https://scholar.google.com/scholar?q=Continuous%20realtime%20gesture%20following%20and%20recognition,10,279.0,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7be03a3a6771da0ac898fc6c76e6ba0be6a2f82a,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
11,11,11.0,11.0,11.0,11.0,11.0,On-line development of man-machine relationships: Motivation-driven musical interaction,https://scholar.google.com/scholar?q=On-line%20development%20of%20man-machine%20relationships%3A%20Motivation-driven%20musical%20interaction,11,3.0,http://www.generativeart.com/on/cic/papersGA2008/1.pdf,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
12,12,12.0,12.0,12.0,12.0,12.0,Structural coupling in a society of musical agents,https://scholar.google.com/scholar?q=Structural%20coupling%20in%20a%20society%20of%20musical%20agents,12,34.0,https://www.researchgate.net/profile/Peter-Beyls-2/publication/228846032_Interaction_and_Self-organisation_in_a_Society_of_Musical_Agents/links/55940b7c08ae5af2b0ecfb7e/Interaction-and-Self-organisation-in-a-Society-of-Musical-Agents.pdf,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
13,13,13.0,13.0,13.0,13.0,13.0,"Autonomy, influence and emergence in an audiovisual ecosystem",https://scholar.google.com/scholar?q=Autonomy%2C%20influence%20and%20emergence%20in%20an%20audiovisual%20ecosystem,13,6.0,https://metacreation.net/ktatar/musical_agents/Beyls_2012.pdf,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
14,14,14.0,14.0,14.0,14.0,14.0,GenJam: A genetic algorithm for generating jazz solos,https://scholar.google.com/scholar?q=GenJam%3A%20A%20genetic%20algorithm%20for%20generating%20jazz%20solos,14,850.0,https://www.researchgate.net/profile/John-Biles-2/publication/2342018_GenJam_A_Genetic_Algorithm_for_Generating_Jazz_Solos/links/54debcb80cf2510fcee4b529/GenJam-A-Genetic-Algorithm-for-Generating-Jazz-Solos.pdf,,,0,0,0,0,0,0,0,0,,[0],0,,0.0,
